2018-03-23|11:15:00|Outdoor furniture set|IKEA|-350.00
2018-04-28|15:40:00|Kitchen knife set|Williams-Sonoma|-120.00
2018-05-15|12:05:00|Deposit|Wells Fargo|600.00
2018-06-12|10:20:00|Women's hiking boots|REI|-139.00
2018-07-11|17:30:00|Portable charger|Best Buy|-39.99
2018-08-21|09:15:00|Deposit|Chase Bank|800.00
2018-09-19|16:00:00|Men's dress shirt|Nordstrom|-65.00
2018-10-24|14:30:00|Hair dryer|Target|-29.99
2018-11-20|11:25:00|Heated blanket|Bed Bath & Beyond|-69.99
2018-12-18|13:45:00|Winter gloves|Columbia|-49.00
2019-01-21|10:05:00|Deposit|Bank of America|1200.00
2019-02-25|15:15:00|New cookware set|Macy's|-199.00
2019-04-17|09:55:00|Gardening tools|Home Depot|-89.99
2019-05-15|14:20:00|Dog food|PetSmart|-44.00
2019-06-19|16:40:00|Deposit|Chase Bank|500.00
2019-07-24|10:10:00|Beach umbrella|Amazon|-24.99
2019-08-21|15:05:00|Backpack|The North Face|-99.00
2019-09-18|11:30:00|Smartphone case|Apple Store|-39.00
2019-10-23|13:45:00|Deposit|Bank of America|1500.00
2019-11-27|10:20:00|Blender|Walmart|-59.99
2020-01-22|12:45:00|Vacuum cleaner|Target|-249.00
2020-02-19|14:00:00|Deposit|Chase Bank|1000.00
2020-03-25|11:10:00|Men's leather wallet|Fossil|-49.99
2020-04-22|16:25:00|Reusable water bottle|Amazon|-20.00
2020-05-20|10:35:00|Deposit|Bank of America|1800.00
2020-06-24|15:15:00|Laptop sleeve|Staples|-29.99
2020-07-22|12:30:30|Beach towel|Bed Bath & Beyond|-19.99
2020-08-19|13:45:00|Deposit|Chase Bank|1100.00
2020-09-23|10:20:00|Reusable grocery bags|Whole Foods Market|-12.99
2020-10-21|15:30:00|Women's leggings|Lululemon|-98.00
2020-11-18|11:45:00|Deposit|Wells Fargo|1300.00
2020-12-16|16:10:00|Board game|Barnes & Noble|-39.99
2021-01-20|14:25:00|Deposit|Bank of America|1600.00
2021-02-12|11:05:30|Wireless earbuds|Best Buy|-129.99
2021-03-15|13:10:15|Protein powder|GNC|-34.99
2021-04-21|12:30:00|Deposit|Chase Bank|900.00
2021-05-19|10:50:00|Men's swim trunks|Dick's Sporting Goods|-39.99
2021-06-09|10:30:00|Smart thermostat|Amazon|-179.99
2021-07-12|09:20:18|Organic avocado oil|Whole Foods Market|-17.85
2021-08-15|14:50:15|Rain jacket|REI|-99.00
2021-09-22|11:20:00|Deposit|Wells Fargo|700.00
2021-10-20|15:45:00|Women's hiking shoes|Columbia|-129.00
2021-11-17|13:10:00|Heater|Home Depot|-89.99
2021-12-16|13:25:50|Plant-based protein|Whole Foods Market|-22.99
2022-01-14|15:40:10|Men's dress shoes|Macy's|-129.99
2022-02-07|11:20:15|Deposit|Wells Fargo|250.00
2022-03-16|15:50:45|Wireless keyboard|Staples|-49.99
2022-04-03|14:40:10|Fitness tracker|Fitbit|-99.95
2022-05-18|10:15:00|Deposit|Bank of America|1200.00
2022-06-01|09:10:25|Deposit|Bank of America|1000.00
2022-07-14|11:20:00|Running socks|Dick's Sporting Goods|-14.99
2022-08-16|15:20:30|Women's sunglasses|Ray-Ban|-169.00
2022-09-14|11:05:45|Office chair|Staples|-149.99
2022-10-11|14:15:30|Deposit|Chase Bank|500.00
2022-11-13|08:30:10|Electric toothbrush|Target|-59.99
2022-12-09|09:15:45|Air purifier|Home Depot|-199.00
2023-01-23|16:15:45|Men's sunglasses|Oakley|-179.00
2023-02-11|09:10:25|Deposit|Bank of America|1700.00
2023-02-19|14:55:15|Wireless charger|Apple Store|-59.00
2023-03-19|10:35:20|Resistance bands|Amazon|-19.99
2023-03-21|14:15:30|Deposit|Chase Bank|800.00
2023-04-04|12:40:00|Gourmet coffee beans|Whole Foods Market|-22.99
2023-04-26|08:15:40|Yoga mat|Lululemon|-68.00
2023-04-27|11:20:15|Deposit|Wells Fargo|1250.00
2023-05-03|16:18:10|testing signAmount|Cristi|20.05
2023-05-03|16:22:48|test cheeseburger|ShakeShack|-24.57
